[2026-03-15 01:18:50,239] 15 root - INFO - Initiate the data ingestion
[2026-03-15 01:19:01,164] 66 root - INFO - Performed train test split on the dataframe
[2026-03-15 01:19:01,164] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-03-15 01:19:01,164] 76 root - INFO - Exporting train and test file path.
[2026-03-15 01:19:01,302] 85 root - INFO - Exported train and test file path.
[2026-03-15 01:19:01,307] 17 root - INFO - Data Initiation Completed
[2026-03-15 01:19:01,314] 21 root - INFO - Initiate data validate
[2026-03-15 01:19:01,522] 32 root - INFO - Required number of columns:2
[2026-03-15 01:19:01,524] 33 root - INFO - Data frame has columns:31
[2026-03-15 01:19:01,524] 32 root - INFO - Required number of columns:2
[2026-03-15 01:19:01,524] 33 root - INFO - Data frame has columns:31
[2026-03-15 01:19:01,952] 23 root - INFO - Data validation completed.
